Multi-family houses;Non renovated;Renovated ;First year;End year
1200-1918;131,8;83,1;1200;1918
1919-1948;139,5;77,2;1919;1948
1949-1957;138,0;78,7;1949;1957
1958-1968;109,2;65,5;1958;1968
1969-1978;115,3;72,1;1969;1978
1949-1978;120,8;72,1;1949;1978
1979-1983;107,7;74,9;1979;1983
1984-1994;100,4;72,3;1984;1994
1995-2001;86,7;69,4;1995;2001
2002-2009;62,3;59,5;2002;2009
2010-2015;72,7;51;2010;2015
2016-9999;69,0;52,6;2016;9999
1979-1986;104,1;73,6;1979;1986
1987-1990;100,4;72,3;1987;1990
1991-1995;100,4;72,3;1991;1995
1996-2000;86,7;69,4;1996;2000
2001-2004;62,3;59,5;2001;2004
2005-2008;62,3;59,5;2005;2008
0001-9999;106,7;69,2;0001;9999